tweet_id,_id,like_counts,content,ret,ret_prob
GFplcu3WU,4298694960361922,1754,大学都这样做多好，很多大学就是怕担责任拼命包庇，你看现在人家南大积极回应，真正怪学校的人不多[鼓掌][鼓掌], positive,-1.3422466e-05
GFplcu3WU,4298693257993303,1209,南大“不合群”，举报了[二哈], positive,-8.03023e-05
GFplcu3WU,4298692184469493,878,比某些大学强👍🏻, positive,-3.154219e-05
GFplcu3WU,4298703232260443,457,南大果然很爱惜羽毛。致敬, positive,-1.402038e-05
GFplcu3WU,4298721384032125,298,川大：我们不会解决问题的 我们解决提出问题的人, positive,-0.00472723
GFplcu3WU,4298703223499003,270,给南大点赞，很欣慰自己明年能去南大读研～, positive,-2.4272329e-05
GFplcu3WU,4298703076095943,203,查，亡教授，不查，亡科学界, negative,-0.15976565
GFplcu3WU,4298696822577737,106,不拖泥带水，动多快，有态度，南大就是南大[中国赞][中国赞][中国赞], positive,-1.0444119e-05
GFplcu3WU,4298697049499079,82,哪像我们学校，一点事情就从上到下打招呼，叫不要声张，败坏学校名声, negative,-0.0022418145
GFplcu3WU,4298698176874083,75,真的速度快[喵喵][喵喵][喵喵], positive,-9.130952e-06
GFplcu3WU,4298691584714214,46,有点巧 http://t.cn/EZUcYJ2, positive,-3.4167595e-05
GFplcu3WU,4298702140923226,26,[二哈]这才是对的态度, positive,-1.2231317e-05
GFplcu3WU,4298693400486224,22,中国的教育应该培养孩子的独立思考能力，各抒己见、求同存异的思维方式应当从小培养；而不是像生产螺丝母似的批量统一口径生产。如此才能减少此类抄袭事件的发生[污], negative,-0.0065666228
GFplcu3WU,4298709996411880,19,为我南点赞, positive,-2.4152187e-05
GFplcu3WU,4298722462500789,18,南大果然是南大，什么河北科技大学学着点，非主观造假哈哈, positive,-0.00021777152
GFplcu3WU,4298716850441475,16,正面回应，这才是大学应有的态度, positive,-0.001700968
GFplcu3WU,4298763961044605,12,天天说学生不让抄袭，要查重复率，是时候查查教授们的抄袭了，一碗水端平，不然你永远不知道多少滥竽充数🙃🙃, negative,-0.065558866
GFplcu3WU,4298737251863772,11,以后让孩子考南大, positive,-0.010723626
GFplcu3WU,4298724887363340,10,诚朴雄伟，励学敦行[耶][耶], positive,-1.6282536e-05
GFplcu3WU,4298717672866238,9,南大、清华、哈佛全出事儿了[费解], negative,-0.5397821
GFplcu3WU,4298717094125824,8,这只是冰山一角，真正做学术的人，少之又少, positive,-0.12352239
GFplcu3WU,4298718457145228,7,南大研究生很好[哈哈], positive,-5.5556293e-06
GFplcu3WU,4298721799863140,7,这样的害群之马应该坚决铲除，决不姑息, negative,-0.50200087
